generation,best_formula,combined_fitness,fitness,novelty,complexity,strict_hits,closeness,variance
1,5*x**2 + 10*x + 2,15325.647311577159,5.81964455938889e-07,15325.817310995195,17,0,5.81964455938889e-07,234880676.25
2,19*x**2 + 24*x,57846.048422987114,1.532398427268846e-07,57846.188422833875,14,0,1.532398427268846e-07,3346181515.05
3,29*x**2 + 24*x,87937.9221748498,1.0091613687376743e-07,87938.06217474888,14,0,1.0091613687376743e-07,7733102779.05
4,45*x**2 + 17*x,135889.17730646738,6.54130559749986e-08,135889.31730640196,14,0,6.54130559749986e-08,18465906558.0
5,58*x**2 + 14*x + 2,174924.75958043203,5.083608068458713e-08,174924.93958038118,18,0,5.083608068458713e-08,30598734487.2
6,58*x**2 + 14*x + 2,174924.75958043203,5.083608068458713e-08,174924.93958038118,18,0,5.083608068458713e-08,30598734487.2
7,70*x**2 + 10*x,210923.26794709766,4.2174752944514726e-08,210923.4079470555,14,0,4.2174752944514726e-08,44488684020.0
8,77*x**2 + 32*x,232603.01532999065,3.818190301506452e-08,232603.15532995248,14,0,3.818190301506452e-08,54104227869.45
9,91*x**2 + 17*x,274312.1695849287,3.2413263403662334e-08,274312.3095848963,14,0,3.2413263403662334e-08,75247243189.8
10,91*x**2 + 17*x,274312.1695849287,3.2413263403662334e-08,274312.3095848963,14,0,3.2413263403662334e-08,75247243189.8
11,103*x**2 + 9*x,310198.7661363979,2.867682162626944e-08,310198.9061363692,14,0,2.867682162626944e-08,96223361368.2
12,112*x**2 + 3*x,337113.7227444261,2.6394822518309958e-08,337113.86274439975,14,0,2.6394822518309958e-08,113645756454.45
13,123*x**2 + 17*x,370606.42716265336,2.3993031655830134e-08,370606.5771626294,15,0,2.3993031655830134e-08,137349235036.2
14,134*x**2 + 24*x,403903.36970466626,2.2008995164359653e-08,403903.5197046443,15,0,2.2008995164359653e-08,163138053229.8
15,138*x**2 + 32*x,416163.91662303003,2.1353938802344697e-08,416164.0666230087,15,0,2.1353938802344697e-08,173192530348.2
16,148*x**2 + 41*x,446507.61393526214,1.9897045523524893e-08,446507.76393524226,15,0,1.9897045523524893e-08,199369183254.45
17,161*x**2 + 3*x,484564.33047407196,1.836029089163595e-08,484564.47047405364,14,0,1.836029089163595e-08,234802726045.8
18,162*x**2 + 30*x + 12,488328.6227324062,1.820125447414137e-08,488328.822732388,20,0,1.820125447414137e-08,238465039111.2
19,169*x**2 + 17*x,509029.4414412223,1.7469425186732432e-08,509029.5914412049,15,0,1.7469425186732432e-08,259111124962.8
20,176*x**2 + 44*x,530849.0022389555,1.6737054908988246e-08,530849.1522389387,15,0,1.6737054908988246e-08,281800822432.8
21,180*x**2 + 21*x,542242.4726821973,1.639749683684087e-08,542242.622682181,15,0,1.639749683684087e-08,294027061853.25
22,194*x**2 + 21*x,584371.2163091885,1.5215647260396843e-08,584371.3663091733,15,0,1.5215647260396843e-08,341489893762.05
23,199*x**2 + 27*x + 13,599584.960619255,1.4826859056826725e-08,599585.1606192401,20,0,1.4826859056826725e-08,359502364834.8
24,211*x**2 + 12*x - 12,635275.7829972071,1.4000284877796693e-08,635275.9829971931,20,0,1.4000284877796693e-08,403575574573.05
25,227*x**2 + 37*x,684122.1911409817,1.2992384072334943e-08,684122.3411409687,15,0,1.2992384072334943e-08,468023377648.2
26,240*x**2 + 29*x + 12,723017.9326102879,1.2295961128433798e-08,723018.1326102755,20,0,1.2295961128433798e-08,522755220083.25
27,243*x**2 + 17*x,731709.9469729868,1.2153508338667914e-08,731710.0969729747,15,0,1.2153508338667914e-08,535399666012.2
28,250*x**2 + 12*x,752634.4792278996,1.1816983103415808e-08,752634.6292278877,15,0,1.1816983103415808e-08,566458885113.0
29,256*x**2 + x,770382.043624047,1.1547541725829535e-08,770382.1636240354,12,0,1.1547541725829535e-08,593488678030.05
30,265*x**2 + 44*x - 14,798667.3721464268,1.1128494066142294e-08,798667.5721464156,20,0,1.1128494066142294e-08,637869890798.25
31,273*x**2 + 30*x,822349.4185263462,1.0811171027341689e-08,822349.5685263354,15,0,1.0811171027341689e-08,676258812855.45
32,280*x**2 + 63*x,844336.7949155163,1.0522769283927024e-08,844336.9449155058,15,0,1.0522769283927024e-08,712904876549.25
33,291*x**2 + 72*x,877689.685791134,1.0121527357101797e-08,877689.8357911239,15,0,1.0121527357101797e-08,770339447851.05
34,295*x**2 + 69*x,889642.5548748379,9.98626209895571e-09,889642.7048748279,15,0,9.98626209895571e-09,791464142337.0
35,310*x**2 + 38*x,933913.4212088232,9.518708583860984e-09,933913.5712088137,15,0,9.518708583860984e-09,872194558488.0
36,311*x**2 + 90*x,938377.0834072623,9.464568715030903e-09,938377.2334072529,15,0,9.464568715030903e-09,880551832177.05
37,321*x**2 + 86*x,968357.150725857,9.172585292614368e-09,968357.3007258478,15,0,9.172585292614368e-09,937715861869.05
38,327*x**2 + 45*x,985265.5367283147,9.021723299271637e-09,985265.6867283058,15,0,9.021723299271637e-09,970748473444.2
39,339*x**2 + 38*x,1021180.1041633225,8.705613060676086e-09,1021180.2541633138,15,0,8.705613060676086e-09,1042809111493.05
40,347*x**2 + 50*x,1045589.3020171231,8.500812227105862e-09,1045589.4520171146,15,0,8.500812227105862e-09,1093257302169.45
41,358*x**2 + 106*x,1080256.806721908,8.220948311379401e-09,1080256.9667218998,16,0,8.220948311379401e-09,1166955114151.2
42,368*x**2 + 60*x,1109062.1117577509,8.013355507035935e-09,1109062.2617577428,15,0,8.013355507035935e-09,1230019100455.2
43,374*x**2 + 68*x - 2,1127341.0062692652,7.88258306066953e-09,1127341.1962692572,19,0,7.88258306066953e-09,1270898172805.8
44,381*x**2 + 140*x,1150419.3648208664,7.716393643426283e-09,1150419.5248208586,16,0,7.716393643426283e-09,1323465083089.05
45,388*x**2 + 157*x,1171959.2788051441,7.572974048826507e-09,1171959.4388051364,16,0,7.572974048826507e-09,1373488926204.45
46,391*x**2 + 42*x,1177770.1705638473,7.548148621053638e-09,1177770.3205638397,15,0,7.548148621053638e-09,1387142928001.05
47,401*x**2 + 89*x,1209176.7104479736,7.3473405580810655e-09,1209176.860447966,15,0,7.3473405580810655e-09,1462108679842.8
48,415*x**2 + 95*x,1251473.27458001,7.09869978227152e-09,1251473.424580003,15,0,7.09869978227152e-09,1566185732430.0
49,416*x**2 + 115*x - 6,1255041.8460526683,7.076659141488869e-09,1255042.0460526613,20,0,7.076659141488869e-09,1575130537360.05
50,429*x**2 + 125*x,1294441.1444811332,6.860627208967597e-09,1294441.3044811264,16,0,6.860627208967597e-09,1675578290746.8
51,442*x**2 + 103*x,1332945.3140162735,6.66459095759762e-09,1332945.4740162666,16,0,6.66459095759762e-09,1776743636700.45
52,456*x**2 + 56*x,1373759.4741369223,6.470554177341895e-09,1373759.6241369157,15,0,6.470554177341895e-09,1887215504908.8
53,468*x**2 + 97*x + 6,1411016.547001538,6.296669418269225e-09,1411016.7370015318,19,0,6.296669418269225e-09,1990968232098.45
54,468*x**2 + 105*x - 13,1411240.292397259,6.295143338462322e-09,1411240.5023972527,21,0,6.295143338462322e-09,1991599755606.45
55,482*x**2 + 213*x,1456390.1220633169,6.092500559504789e-09,1456390.2820633107,16,0,6.092500559504789e-09,2121072653688.45
56,489*x**2 + 210*x,1477370.5603160174,6.006384137648834e-09,1477370.7203160112,16,0,6.006384137648834e-09,2182624245247.05
57,502*x**2 + 215*x + 13,1516629.9105206456,5.850874616236746e-09,1516630.1205206397,21,0,5.850874616236746e-09,2300166922470.45
58,507*x**2 + 125*x,1529158.3914132335,5.808868431964744e-09,1529158.5514132276,16,0,5.808868431964744e-09,2338325875360.2
59,518*x**2 + 207*x,1564553.2826597476,5.6725835381239985e-09,1564553.442659742,16,0,5.6725835381239985e-09,2447827474938.45
60,520*x**2 + 190*x,1570096.1231766138,5.65363455657029e-09,1570096.2831766082,16,0,5.65363455657029e-09,2465202338445.0
61,534*x**2 + 144*x,1610938.1267850085,5.513227202386513e-09,1610938.2867850028,16,0,5.513227202386513e-09,2595122163829.8
62,543*x**2 + 140*x,1637909.0002898702,5.422790049557685e-09,1637909.1602898648,16,0,5.422790049557685e-09,2682746417361.45
